epoch,loss,val_loss,mae,val_mae
1,0.05073925852775574,0.02764563262462616,0.05073925852775574,0.02764563262462616
2,0.030351590365171432,0.02519506774842739,0.030351590365171432,0.02519506774842739
3,0.02580561488866806,0.024889154359698296,0.02580561488866806,0.024889154359698296
4,0.02249128185212612,0.020577911287546158,0.02249128185212612,0.020577911287546158
5,0.021259307861328125,0.01851736754179001,0.021259307861328125,0.01851736754179001
6,0.02038348652422428,0.020519880577921867,0.02038348652422428,0.020519880577921867
7,0.01960015296936035,0.016964588314294815,0.01960015296936035,0.016964588314294815
8,0.02002197690308094,0.01712826080620289,0.02002197690308094,0.01712826080620289
9,0.019374605268239975,0.018253132700920105,0.019374605268239975,0.018253132700920105
10,0.01827315427362919,0.016934556886553764,0.01827315427362919,0.016934556886553764
11,0.017641326412558556,0.02128618396818638,0.017641326412558556,0.02128618396818638
12,0.01895139180123806,0.01627447083592415,0.01895139180123806,0.01627447083592415
13,0.017414258792996407,0.0165006872266531,0.017414258792996407,0.0165006872266531
14,0.017344828695058823,0.01608436368405819,0.017344828695058823,0.01608436368405819
15,0.017129896208643913,0.01677110604941845,0.017129896208643913,0.01677110604941845
16,0.016601303592324257,0.01584143191576004,0.016601303592324257,0.01584143191576004
17,0.016066405922174454,0.015700705349445343,0.016066405922174454,0.015700705349445343
18,0.015457979403436184,0.015750698745250702,0.015457979403436184,0.015750698745250702
19,0.016001883894205093,0.01758025959134102,0.016001883894205093,0.01758025959134102
20,0.015669308602809906,0.015844695270061493,0.015669308602809906,0.015844695270061493
21,0.015536140650510788,0.016054684296250343,0.015536140650510788,0.016054684296250343
22,0.015721693634986877,0.01608653925359249,0.015721693634986877,0.01608653925359249
23,0.015596113167703152,0.01504229474812746,0.015596113167703152,0.01504229474812746
24,0.014901255257427692,0.015728387981653214,0.014901255257427692,0.015728387981653214
25,0.015419982373714447,0.015359851531684399,0.015419982373714447,0.015359851531684399
26,0.014865758828818798,0.015576892532408237,0.014865758828818798,0.015576892532408237
27,0.014951562508940697,0.015694284811615944,0.014951562508940697,0.015694284811615944
28,0.014914433471858501,0.01583678275346756,0.014914433471858501,0.01583678275346756
29,0.015335517935454845,0.015596440993249416,0.015335517935454845,0.015596440993249416
30,0.014953358098864555,0.015900256112217903,0.014953358098864555,0.015900256112217903
31,0.014789040200412273,0.01637376844882965,0.014789040200412273,0.01637376844882965
32,0.014903027564287186,0.01640317402780056,0.014903027564287186,0.01640317402780056
33,0.015429684892296791,0.015480445697903633,0.015429684892296791,0.015480445697903633
34,0.014888327568769455,0.015833448618650436,0.014888327568769455,0.015833448618650436
35,0.014628754928708076,0.01532389223575592,0.014628754928708076,0.01532389223575592
36,0.01472172699868679,0.01579899527132511,0.01472172699868679,0.01579899527132511
37,0.014722212217748165,0.016231248155236244,0.014722212217748165,0.016231248155236244
38,0.014638911932706833,0.014892122708261013,0.014638911932706833,0.014892122708261013
39,0.014712988398969173,0.0150692043825984,0.014712988398969173,0.0150692043825984
40,0.014538547955453396,0.014963616617023945,0.014538547955453396,0.014963616617023945
41,0.014616035856306553,0.014951962046325207,0.014616035856306553,0.014951962046325207
42,0.014612513594329357,0.015091604553163052,0.014612513594329357,0.015091604553163052
43,0.014779970049858093,0.015063922852277756,0.014779970049858093,0.015063922852277756
44,0.014623883180320263,0.015161266550421715,0.014623883180320263,0.015161266550421715
45,0.014268932864069939,0.014924703165888786,0.014268932864069939,0.014924703165888786
46,0.013986916281282902,0.015538935549557209,0.013986916281282902,0.015538935549557209
47,0.014160184189677238,0.014722689986228943,0.014160184189677238,0.014722689986228943
48,0.014062462374567986,0.014795475639402866,0.014062462374567986,0.014795475639402866
49,0.014118572697043419,0.014631960541009903,0.014118572697043419,0.014631960541009903
50,0.01385795883834362,0.01413166243582964,0.01385795883834362,0.01413166243582964
51,0.013727954588830471,0.014427060261368752,0.013727954588830471,0.014427060261368752
