epoch,loss,val_loss
1,0.1497524082660675,0.05619846284389496
2,0.04334641993045807,0.03526967763900757
3,0.036043908447027206,0.03174977004528046
4,0.03274856507778168,0.02915145456790924
5,0.030752670019865036,0.026670943945646286
6,0.02849234826862812,0.024765774607658386
7,0.0264323391020298,0.02317923679947853
8,0.02474355325102806,0.022564304992556572
9,0.02404000051319599,0.02199738658964634
10,0.02467631921172142,0.022759782150387764
11,0.024041417986154556,0.021639294922351837
12,0.023051491007208824,0.021452222019433975
13,0.023290522396564484,0.022425105795264244
14,0.022494575008749962,0.021619180217385292
15,0.02333533950150013,0.021324988454580307
16,0.023082520812749863,0.02122103050351143
17,0.023223649710416794,0.02131362445652485
18,0.0233225766569376,0.021352924406528473
19,0.022885022684931755,0.02098456583917141
20,0.022702978923916817,0.020932959392666817
21,0.023307062685489655,0.020841823890805244
22,0.022187285125255585,0.020619504153728485
23,0.022172847762703896,0.020715709775686264
24,0.021999619901180267,0.020465947687625885
25,0.022438503801822662,0.020420191809535027
26,0.021872596815228462,0.020334860309958458
27,0.023079046979546547,0.021673429757356644
28,0.0221499502658844,0.020366888493299484
29,0.021876312792301178,0.020056433975696564
30,0.0215329397469759,0.019883083179593086
31,0.021895654499530792,0.02061472088098526
32,0.021596306934952736,0.019738344475626945
33,0.021172206848859787,0.019458936527371407
34,0.02122284471988678,0.020401891320943832
35,0.02111341804265976,0.01924220286309719
36,0.02103753387928009,0.019441567361354828
37,0.020864326506853104,0.01899932511150837
38,0.020099926739931107,0.01906050741672516
39,0.020770752802491188,0.01863880082964897
40,0.0205147173255682,0.018878215923905373
41,0.019880346953868866,0.018247319385409355
42,0.01944298855960369,0.018835656344890594
43,0.020111948251724243,0.017996812239289284
44,0.019298896193504333,0.017768101766705513
45,0.019003037363290787,0.017875149846076965
46,0.018861519172787666,0.01723766326904297
47,0.01862959749996662,0.017144426703453064
48,0.018409615382552147,0.016943251714110374
49,0.018227875232696533,0.016828665509819984
50,0.01824500411748886,0.016715260222554207
51,0.017923982813954353,0.016885392367839813
52,0.018311593681573868,0.017044927924871445
53,0.017681073397397995,0.016635200008749962
54,0.01764066331088543,0.016984278336167336
